Participant ID	Length 2: Grammatical	Length 2: Ungrammatical	Length 4: Grammatical	Length 4: Ungrammatical	Length 6: Grammatical	Length 6: Ungrammatical	Length 8: Grammatical	Length 8: Ungrammatical	Hypothesized rule(s)	Participant's free response answer
890094_QI	0.33	1	0.4	1	0	0.75	0	0.87	All bad	I looked for words that appeared sequentially and thought those were the possible sentences.
325288_QI	0	1	0	0.8	0.12	0.87	0.25	0.87	All bad	
170079_QI	0.66	0.33	1	0.4	0.87	0	0.87	0	All good	
933327_QI	1	0	1	0	1	0	1	0.12	All good	I recognized a pattern while learning them. It would have been a lot easier if I could still see the buttons laid out. Because I couldn't see that, I went by whether the sentences had an even number of words and if they sounded familiar, but it was hard.
278478_QI	0.66	0	1	0	1	0	1	0	All good	
262599_QI	1	0	1	0	1	0	1	0	All good	I can remember most of the letters
762225_QI	1	0.33	1	0.2	1	0.25	1	0.25	All good	
441381_QI	1	0	1	0	1	0	1	0	All good	
369173_QI	0.33	0	0.8	0	0.75	0	0.87	0.25	All good	I tried to go with similar words and structure that I remember from the first task. Not sure I succeeded...
957899_QI	0.66	0	1	0	0.62	0.12	0.75	0.25	All good	
293496_QI	0.66	0	0.8	0	0.87	0	0.75	0.25	All good	
333290_QI	1	0	1	0	1	0	1	0	All good	NICE
634733_QI	1	0	1	0	1	0	1	0	All good	100 percentage i seleted possible alien language sentence here
726486_QI	0	0.66	0.8	0.2	0.87	0	0.87	0.25	All good 4 up	
500722_QI	0	1	1	0.2	0.75	0.12	0.75	0.12	All good 4 up	
131420_QI	0	1	0.8	0	0.5	0	0.87	0.25	All good 4 up	
516634_QI	0	1	0.6	0.2	0.75	0.12	1	0	All good 4 up	
777874_QI	1	0.66	1	0	1	0	1	0	All good,All good 4 up	vi fo
357013_QI	0.66	0.33	1	0	0.75	0.25	1	0.12	All good,All good 4 up	
943027_QI	1	0.33	1	0.6	1	0.37	1	0.12	All good,No order	I recognized that there was a sequence to the sentences I selected beforehand, and the sentence structure laid out showed me that the pattern was probably mirrored but using the buttom half of the grid of words I was using. So if the sentence was mirrored , I determined that it was a possible sentence.
438364_QI	0.66	0.33	1	0.8	1	0.75	0.87	0.62	Interp and extrap	Trying to remember the pairs
498031_QI	1	1	1	0.8	1	0.75	0.87	0.87	Interp and extrap	a pattern emerged
357519_QI	1	1	1	0.8	0.87	0.75	0.87	0.87	Interp and extrap	i noticed that the words on top row matched the bottom rows, except they ran in reverse order on the second half of the sentence. kinda hard to explain
678669_QI	0.66	1	1	0.6	1	1	0.87	1	Interp and extrap	It was always a sequence.
929320_QI	1	1	1	0.6	1	0.75	0.87	0.87	Interp and extrap	I noticed that the top words were always paired with a bottom word, and it was always a sequence of top words followed by their bottom pairs in reverse order.
951212_QI	1	0.66	1	0.6	1	1	1	0.87	Interp and extrap	
803841_QI	1	1	1	0.8	1	1	1	1	Interp and extrap	From the middle of the sentence moving out, each word needs to match with its corresponding word.
136852_QI	1	1	1	1	1	1	1	1	Interp and extrap	the number of letters needed to match, from the center of the sentence out so depending on length (1=2) or (2=3 + 1=4) ect.
475247_QI	1	1	1	1	1	1	1	0.87	Interp and extrap	There were pairs above and below each other in the test phase. The order of the first half of the sentence had to match the reverse order of those words paired word in the second half of the sentence.
881668_QI	1	1	1	0.6	1	0.62	1	0.75	Interp and extrap	
907233_QI	1	1	1	1	1	1	1	1	Interp and extrap	Based on my observations, it looked like words were linked together based on their position of top and bottom. The sentence always started with a top word, and either the word below it followed, or another top word. If another top word, then the next word would be either the one below it, or another top word. If it was the one below it, then the order would reverse and the next word would be a bottom word below the previous top word, and so on.
390548_QI	1	0.66	0.8	0.6	0.87	1	0.87	0.87	Interp and extrap	I started in the middle to see if those two words went together and worked my way toward the edges one at a time to verify each of those pairs went together. If I had trouble remembering if they did, I knew that each pairs that went together had the same number of letters so I could rule out matches that way.
176236_QI	1	0.66	1	1	1	0.75	1	0.62	Interp and extrap	
999529_QI	1	1	1	1	1	1	1	1	Interp and extrap	I depended on the rows that the words were placed in during the trials. If a word in the top row is used, then the corresponding word on the bottom row will also be used. The corresponding words will be used in reverse order(if \""gri\"" is used first in the sentence, then the corresponding \""klo\"" will last in the sentence).
676860_QI	1	1	1	1	1	1	1	1	Interp and extrap	every time that a top sequence was made on the study part had a counter sequence on the bottom, so i just learned that
667712_QI	1	1	1	0.8	0.87	0.75	0.75	1	Interp and extrap	
859264_QI	1	0.66	1	1	1	1	1	0.75	Interp and extrap	
556072_QI	1	0.66	1	0.8	1	1	1	0.75	Interp and extrap	I looked at the order and tried to remember how they were organized in the grid. On the top, we will call them: A, B, C, D, etc. Bottom was: A2, B2, C2, D2, etc. I would go words on the top, then words on the bottom in reverse order of the top. So, A B C D D2 C2 B2 A2.
776625_QI	1	1	1	1	1	1	1	1	Interp and extrap	
400513_QI	0.66	0.33	0.8	1	0.87	1	0.87	0.62	Interp and extrap	
511052_QI	1	1	1	1	1	0.87	1	1	Interp and extrap	I tried to remember the sequences.
756750_QI	1	1	1	1	1	1	1	1	Interp and extrap	
944795_QI	1	0.66	1	1	1	0.87	1	0.5	Interp and extrap,Interp extrap good	
639420_QI	1	0.66	1	0.8	0.87	0.62	0.87	0.37	Interp extrap good	I tried to remember how they were paired and sequenced in the training then I made my decision.
378320_QI	1	0.66	0.8	0.8	0.75	0.87	0.37	0.87	Interp only	it took me a while to see the pattern, but it looked like certain pairs of words should appear in an equally distant location from the center. For example. D C B A A B C D. From there, it was also necessary to remember the pairs. I am uncertain if order of appearance matters. (plom brin == brin plom?)
478088_QI	1	0	0.8	0	1	0	0.12	0.87	Length less than 8	
780899_QI	1	0.33	1	0.4	0.87	0	0	1	Length less than 8	I found a pattern based on the positioning of the words when learning. That pattern couldn't be used during the test, so I tried to remember the sequence of words, or at least word pairs, so figure out the test.
671382_QI	1	1	1	1	0.87	0	0.87	0.12	No order	noticed a pattern in the sentences based on what words went together in the boxes/order of the words
872783_QI	0.33	0.66	0.4	0.2	0.62	0.37	0.5	0.87		
182314_QI	0	0.33	0.6	0	0.5	0.25	0.62	0.5		
617419_QI	0.33	0.33	0.2	0.6	0.87	0.75	0.62	0.25		
813138_QI	0.33	0.66	0.2	0.8	0.25	0.75	0.25	0.5		
999878_QI	0.66	0.66	0.6	0.4	0.5	0.25	0.62	0.12		
726759_QI	1	0	0.6	0.4	0.75	0.37	0.87	0.37		the ones with out the short letters I chose as non sentences.
808209_QI	1	0	0.6	0.8	0.62	0.12	0.75	0.5		
629907_QI	0	1	0.8	0.2	0.5	0.5	0.25	0.87		
183066_QI	0	1	0.4	0.2	0.62	0.25	0.75	0.25		
368713_QI	0.66	0.66	0.6	0.4	0.12	0.37	0.5	0.5		I tried to remember the patterns of words that usually came before/after each other and base it off of that
885969_QI	0.33	0.33	0.6	0.4	0.87	0.25	0.62	0.5		I guessed that \""i\"" and \""o\"" might act like the verb to be in English, so it can't be at the end of the sentence.
727789_QI	0.33	0	0.6	0.4	0.87	0.62	0.75	0.62		Just went by the length of the letters, if they were more varied, I thought it was a sentence.
527324_QI	1	0.66	0.8	0.8	0.75	0.5	0.5	0.75		
837543_QI	0	0.33	0.8	0.8	0.75	0.37	0.75	0.37		I choose those that had more sense
553354_QI	0.33	0	0.6	0.4	0.25	0.62	0.37	0.87		Those that were not too long seemed correct
808406_QI	1	0.33	0.6	0.2	0.5	0.5	0.37	0.37		
775334_QI	1	0.33	0.6	0.4	0.5	0.62	0.25	0.25		Unfortunately I didn't realize it was constructing sentences until toward the end; I thought it was going to be more like a memory test, so I was trying to remember the placements of each word
696572_QI	0.66	0.33	1	0.2	0.87	0.37	0.62	0.37		I tried to understand which words started the sentences and which ones ended
416502_QI	1	0.33	0.6	0.2	0.87	0.25	0.5	0.37		
500422_QI	0.66	0.66	0.6	0.4	0.25	0.75	0	1		
914725_QI	0.33	0.66	1	0	0.37	0.25	0.25	0.37		I was mainly guessing and just going with what sounded right. I didn't pick up any patterns on the main test.
920485_QI	0	0.66	0.2	0.6	0.75	0.37	0.75	0.37		
330882_QI	0.33	0.66	0.8	0.4	0.62	0.12	1	0.37		I felt that the sentences that started with one letter or were too short were not sentences in the alien language.
751297_QI	0.66	0	0.8	0	0.75	0.37	0.62	0.25		na
515599_QI	0	1	0.2	0.2	0.62	0.12	0.75	0.25		amount words see in it and letters
702420_QI	0.66	0.66	1	0.6	0.75	0.5	0.87	0.12		
